City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,-6.91,79,100,2.06,CA,1677874491
1,flin flon,54.7682,-101.865,-4.09,80,100,1.54,CA,1677874504
2,narrabri,-30.3167,149.7833,17.51,68,2,0.49,AU,1677874665
3,jamestown,42.097,-79.2353,6.77,61,100,8.23,US,1677874496
4,leningradskiy,69.3833,178.4167,-36.58,98,86,2.32,RU,1677874511
5,bethel,41.3712,-73.414,8.05,44,0,3.09,US,1677874494
6,miles city,46.4083,-105.8406,2.54,48,0,8.75,US,1677874665
7,sitka,57.0531,-135.33,2.94,60,75,0.0,US,1677874508
8,hermanus,-34.4187,19.2345,20.45,85,92,2.16,ZA,1677874226
9,kapaa,22.0752,-159.319,24.18,81,75,7.2,US,1677874503
10,torbay,47.6666,-52.7314,-2.07,71,75,3.6,CA,1677874506
11,poya,-21.35,165.15,25.35,89,100,5.25,NC,1677874666
12,egvekinot,66.3167,-179.1667,-34.26,97,62,2.01,RU,1677874535
13,carballo,43.213,-8.691,8.81,77,2,3.19,ES,1677874666
14,sur,22.5667,59.5289,24.23,67,12,3.69,OM,1677874507
15,kem,64.9555,34.5793,-9.75,98,94,1.96,RU,1677874666
16,albany,42.6001,-73.9662,5.33,46,96,0.45,US,1677874500
17,busselton,-33.65,115.3333,18.56,77,59,5.26,AU,1677874496
18,bredasdorp,-34.5322,20.0403,21.32,74,72,1.87,ZA,1677874499
19,vaini,-21.2,-175.2,25.09,88,100,5.14,TO,1677874498
20,san vicente,-26.6167,-54.1333,23.8,69,64,3.44,AR,1677874666
21,cherskiy,68.75,161.3,-40.23,99,43,2.24,RU,1677874519
22,chokurdakh,70.6333,147.9167,-41.06,100,63,1.64,RU,1677874494
23,bone,51.9669,12.1396,2.36,86,18,2.98,DE,1677874667
24,arraial do cabo,-22.9661,-42.0278,28.98,69,20,10.29,BR,1677874499
25,rikitea,-23.1203,-134.9692,26.53,70,88,5.3,PF,1677874492
26,lebu,-37.6167,-73.65,17.66,83,3,8.1,CL,1677874495
27,srednekolymsk,67.45,153.6833,-41.08,100,59,1.1,RU,1677874526
28,yellowknife,62.456,-114.3525,-19.71,65,100,4.63,CA,1677874500
29,luena,-11.7833,19.9167,17.14,94,28,0.73,AO,1677874667
30,ushuaia,-54.8,-68.3,6.81,76,40,8.75,AR,1677874262
31,alofi,-19.0595,-169.9187,27.94,83,75,3.09,NU,1677874667
